,sim,halo,004096,004032
0,cptmarvel,1,False,False
1,cptmarvel,2,False,False
2,cptmarvel,3,False,False
3,cptmarvel,5,False,False
4,cptmarvel,6,False,False
5,cptmarvel,7,False,False
6,cptmarvel,10,False,False
7,cptmarvel,11,False,False
8,cptmarvel,13,False,False
9,elektra,1,False,False
10,elektra,2,False,False
11,elektra,3,True,True
12,elektra,4,False,False
13,elektra,5,False,False
14,elektra,9,False,False
15,elektra,10,False,False
16,elektra,12,False,False
17,elektra,17,False,False
18,elektra,36,False,False
19,storm,1,False,False
20,storm,2,False,False
21,storm,3,False,False
22,storm,4,True,True
23,storm,5,False,False
24,storm,6,False,False
25,storm,7,False,False
26,storm,8,False,False
27,storm,10,False,False
28,storm,11,False,False
29,storm,12,False,False
30,storm,14,False,False
31,storm,15,False,False
32,storm,23,False,False
33,storm,31,False,False
34,storm,44,False,False
35,rogue,1,False,True
36,rogue,3,False,False
37,rogue,7,False,False
38,rogue,8,False,False
39,rogue,10,False,False
40,rogue,11,False,False
41,rogue,12,False,False
42,rogue,15,False,False
43,rogue,16,False,False
44,rogue,17,False,False
45,rogue,28,False,False
46,rogue,31,False,False
47,rogue,37,False,False
48,h148,2,False,False
49,h148,3,False,False
50,h148,4,False,False
51,h148,6,False,False
52,h148,7,False,False
53,h148,11,False,False
54,h148,12,False,False
55,h148,13,False,False
56,h148,15,False,False
57,h148,20,False,False
58,h148,23,False,False
59,h148,27,False,False
60,h148,28,False,False
61,h148,33,False,False
62,h148,34,False,False
63,h148,38,False,False
64,h148,65,False,False
65,h148,114,False,False
66,h229,2,False,False
67,h229,3,False,False
68,h229,6,False,False
69,h229,14,False,False
70,h229,18,False,False
71,h229,22,False,False
72,h229,49,False,False
73,h242,34,False,False
74,h329,7,False,False
75,h329,29,False,False
76,h329,115,False,False
77,h329,117,False,False
